"Suburb"	"Address"	Bedroom	"Type"	Price	"Link"
"CREMORNE"	"78/120 Cabramatta Rd"	1	"Unit"	810.0	"https://www.domain.com.au/78-120-cabramatta-road-cremorne-nsw-2090-2013854928"
"CRONULLA"	"2A Elouera Rd"	4	"House"	Passed In	"https://www.domain.com.au/2a-elouera-road-cronulla-nsw-2230-2013851516"
"CRONULLA"	"3/22-24 Franklin Rd"	2	"Villa"	920.0	"https://www.domain.com.au/3-22-franklin-road-cronulla-nsw-2230-2013856461"
"CROYDON"	"4 Irrara St"	5	"House"	1900.0	"https://www.domain.com.au/4-irrara-street-croydon-nsw-2132-2013839130"
"DARLINGHURST"	"11/88-96 Barcom Av"	2	"Unit"	1310.0	"https://www.domain.com.au/11-88-96-barcom-avenue-aka-87-97-mclachlan-ave--darlinghurst-nsw-2010-2013844397"
"DARLINGHURST"	"63/5 Darley St"	0	"Studio"	Price withheld	"https://www.domain.com.au/63-5-darley-street-darlinghurst-nsw-2010-2013855194"
"DARLINGHURST"	"11/87-97 McLachlan Av"	2	"Unit"	Price withheld	"https://www.domain.com.au/11-88-96-barcom-avenue-aka-87-97-mclachlan-ave--darlinghurst-nsw-2010-2013844397"
"DARLINGHURST"	"46 Taylor St"	3	"House"	Price withheld	"https://www.domain.com.au/46-taylor-street-darlinghurst-nsw-2010-2013838452"
"DEE WHY"	"4/57 Pacific Pde"	2	"Unit"	715.0	"https://www.domain.com.au/4-57-pacific-parade-dee-why-nsw-2099-2013792426"
"DEE WHY"	"2/737-739 Pittwater Rd"	2	"Unit"	991.0	"https://www.domain.com.au/2-737-pittwater-road-dee-why-nsw-2099-2013854640"
"DEE WHY"	"76 Quirk St"	4	"House"	2560.0	"https://www.domain.com.au/76-quirk-street-dee-why-nsw-2099-2013835081"
"DEE WHY"	"3206/10 Sturdee Pde"	1	"Unit"	650.0	"https://www.domain.com.au/3206-10-sturdee-parade-dee-why-nsw-2099-2013842124"
"DOLANS BAY"	"6 Wistaria St"	2	"House"	Passed In	"https://www.domain.com.au/6-wistaria-street-dolans-bay-nsw-2229-2013854911"
"DULWICH HILL"	"10/115-117 Constitution Rd"	2	"Unit"	875.0	"https://www.domain.com.au/10-115-117-constitution-rd-dulwich-hill-nsw-2203-2013848747"
"EARLWOOD"	"2 Lang Rd"	3	"House"	Price withheld	"https://www.domain.com.au/2-lang-road-earlwood-nsw-2206-2013838623"
"EASTWOOD"	"3 Campbell St"	4	"House"	2200.0	"https://www.domain.com.au/3-campbell-street-eastwood-nsw-2122-2013856486"
"EASTWOOD"	"81 Terry Rd"	3	"House"	Passed In	"https://www.domain.com.au/81-terry-road-eastwood-nsw-2122-2013853612"
"EASTWOOD"	"24 Wishart St"	5	"House"	Passed In	"https://www.domain.com.au/24-wishart-street-eastwood-nsw-2122-2013846543"
"EMPIRE BAY"	"69 Rickard Rd"	3	"House"	615.0	"https://www.domain.com.au/69-rickard-road-empire-bay-nsw-2257-2013836664"
"ENGADINE"	"23 Burraddar Av"	3	"House"	1004.9999999999999	"https://www.domain.com.au/23-burraddar-avenue-engadine-nsw-2233-2013857524"
"ENMORE"	"32 Fotheringham St"	2	"Terrace"	1210.0	"https://www.domain.com.au/32-fotheringham-st-enmore-nsw-2042-2013856632"
"EPPING"	"91 Epping Av"	3	"House"	Price withheld	"https://www.domain.com.au/91-epping-avenue-epping-nsw-2121-2013803657"
"EPPING"	"7 Rawson St"	3	"House"	Passed In	"https://www.domain.com.au/7-rawson-street-epping-nsw-2121-2013832929"
"EPPING"	"1/54 Valley Rd"	3	"Villa"	982.0	"https://www.domain.com.au/1-54-valley-road-epping-nsw-2121-2013851610"
"ERSKINEVILLE"	"425/221-229 Sydney Park Rd"	2	"Unit"	925.0	"https://www.domain.com.au/425-221-sydney-park-road-erskineville-nsw-2043-2013851771"
"ERSKINEVILLE"	"174 Union St"	3	"House"	Passed In	"https://www.domain.com.au/174-union-street-erskineville-nsw-2043-2013849774"
"EVELEIGH"	"97/49 Henderson Rd"	2	"Unit"	807.5	"https://www.domain.com.au/97-49-henderson-road-eveleigh-nsw-2015-2013853908"
"FAIRFIELD"	"518 The Horsley Dr"	3	"House"	911.0	"https://www.domain.com.au/518-the-horsley-drive-fairfield-nsw-2165-2013845860"
"FAIRFIELD EAST"	"29 Normanby St"	2	"House"	Passed In	"https://www.domain.com.au/29-normanby-street-fairfield-east-nsw-2165-2013831615"
"FAIRFIELD WEST"	"1 Atherton St"	3	"House"	815.0	"https://www.domain.com.au/1-atherton-street-fairfield-west-nsw-2165-2013845858"
"FAIRFIELD WEST"	"18 Dampier Cr"	3	"House"	685.0	"https://www.domain.com.au/18-dampier-crescent-fairfield-west-nsw-2165-2013847374"
"FAIRLIGHT"	"1/25 Cohen St"	3	"Unit"	Price withheld	"https://www.domain.com.au/1-25-cohen-street-fairlight-nsw-2094-2013837476"
"FAIRLIGHT"	"3/189 Sydney Rd"	2	"Unit"	Withdrawn	"https://www.domain.com.au/3-189-sydney-road-fairlight-nsw-2094-2013848968"
"FORESTVILLE"	"39a Angophora Cr"	3	"House"	1465.0	"https://www.domain.com.au/39a-angophora-crescent-forestville-nsw-2087-2013846778"
"FRESHWATER"	"7/1 Murray Rd"	2	"Unit"	840.0	"https://www.domain.com.au/7-1-murray-road-freshwater-nsw-2096-2013873933"
