Maroubra,2035,9.4
Marrickville,2204,6.7
Marsden Park,2765,39.4
Marsfield,2122,13.9
Mascot,2020,7.2
Matraville,2036,10.3
Mayfield,,164
Mayfield East,,175
Mays Hill,2145,20.7
Mcgraths Hill,2756,44.1
Mcmahons Point,2060,2.5
Meadowbank,2114,12.2
Melrose Park,2114,13.3
Menai,2234,24
Menangle Park,2563,48.9
Merewether,,167
Merrylands,2160,21.3
Merrylands West,2160,22
Michelago,2620,32.7
Middle Arm,,210
Middle Cove,2068,8.1
Middle Dural,2158,29.8
Middleton Grange,2171,34.4
Miller,2168,30.3
Millers Point,2000,1
Milperra,2214,21.6
Milsons Passage,2083,38.8
Milsons Point,2061,2.2
Minchinbury,2770,37.6
Minto,2566,37.8
Minto Heights,2566,36.3
Miranda,2228,21
Modanville,,757
Mona Vale,2103,22.8
Monterey,2217,12.9
Mooney Mooney,2083,37.7
Mooney Mooney Creek,2250,47.7
Moore Park,2021,3.2
Moorebank,2170,24.5
Mortdale,2223,16.9
Mortlake,2137,9.6
Mosman,2088,5.4
Mount Annan,2567,45.9
Mount Colah,2079,23.4
Mount Druitt,2770,37.7
Mount Kuring-gai,2080,25.4
Mount Lewis,2190,15.7
Mount Pritchard,2170,28.2
Mount Saint Thomas,,96
Mount Vernon,2178,36.9
Mount Warrigal,,111
Mount White,2250,45.1
Mulgoa,2745,48.5
Mulgrave,2756,44
Narellan,2567,47.6
Narellan Vale,2567,47.6
Naremburn,2065,5.6
Narrabeen,2101,17.6
Narraweena,2099,14.5
Narromine,,434
Narwee,2209,15.6
Nelson,2765,36
Neutral Bay,2089,4.2
Newcastle,,168
Newington,2127,14.4
Newport,2106,24.9
Newport Beach,2106,26.2
Newtown,2042,4.1
Normanhurst,2076,19.2
North Balgowlah,2093,9.8
North Bondi,2026,7
North Curl Curl,2099,14.3
North Epping,2121,16.3
North Manly,2100,11.7
North Narrabeen,2101,20
North Parramatta,2151,19.7
North Rocks,2151,19.8
North Ryde,2113,10.9
North St Marys,2760,40.9
North Strathfield,2137,10.7
North Sydney,2060,3.2
North Sydney,2055,11.8
North Turramurra,2074,18
North Wahroonga,2076,19.9
North Willoughby,2068,8.3
Northbridge,2063,6.3
Northmead,2152,21.7
Northwood,2066,5
Oak Flats,,116
Oakhurst,2761,37
Oakville,2765,41.9
Oatlands,2117,18.5
Oatley,2223,17.2
Old Guildford,2161,20.2
Old Toongabbie,2146,23.1
Oran Park,2570,47.2
Orchard Hills,2748,46.4
Otford,2508,42.8
Oxford Falls,2100,15.7
Oxley Park,2760,39.7
Oyster Bay,2225,19.4
Paddington,2021,2.7
Padstow,2211,18.3
Padstow Heights,2211,19.9
Pagewood,2035,8.3
Palm Beach,2108,31.1
Palmwoods,,795
Panania,2213,21.7
Paradise Beach,2107,28.9
Parklea,2768,30.4
Parramatta,2150,19.6
Paterson,,191
Patonga,2256,36.1
Peakhurst,2210,16.9
Peakhurst Heights,2210,17.8
Pearl Beach,2256,37.6
Pemulwuy,2145,27
Pendle Hill,2145,24.3
Pennant Hills,2120,19
Penrith,2750,49.2
Penshurst,2222,15.4
Petersham,2049,5.9
Phegans Bay,2256,43.1
Phillip Bay,2036,12.9
Picketts Valley,2251,49.4
Picnic Point,2213,22.8
Pitt Town,2756,44.8
Pitt Town Bottoms,2756,45.3
Pleasure Point,2172,23.1
Plumpton,2761,36.2
Point Clare,2250,49
Point Frederick,2250,48.1
Point Piper,2027,4.2
Pomona,2648,42.7
Port Botany,2036,11.1
Port Hacking,2229,23.6
Port Macquarie,,391
Potts Hill,2143,16.6
Potts Point,2011,1.7
Prairiewood,2176,28.2
Prestons,2170,32
Pretty Beach,2257,40.3
Prospect,2148,27.8
Punchbowl,2196,15.5
Putney,2112,9.9
Pymble,2073,15
Pyrmont,2009,1.3
Quakers Hill,2763,33.8
Queens Park,2022,5.5
Queenscliff,2096,11.8
Raby,2566,40.3
Ramsgate,2217,14.5
Ramsgate Beach,2217,13.8
Randwick,2031,6
Redfern,2016,2.9
Regents Park,2143,17
Revesby,2212,19.9
Revesby Heights,2212,21
Rhodes,2138,11.7
Riverstone,2765,38.2
Riverview,2066,6.4
Riverwood,2210,17
Rockdale,2216,11.5
Rodd Point,2046,6
Rookwood,2141,13.8
Rooty Hill,2766,35.2
Ropes Crossing,2760,42.3
Rose Bay,2029,5.7
Rosebery,2018,5.9
Rosehill,2142,17.7
Roselands,2196,14.4
Rosemeadow,2560,45.7
Roseville,2069,9.6
Roseville Chase,2069,9.9
Rossmore,2557,41
Rouse Hill,2155,33.9
Royal North Shore Hospital,2065,5.3
Rozelle,2039,3.4
Ruse,2560,40.3
Rushcutters Bay,2011,2.2
Russell Lea,2046,6.2
Rydalmere,2116,16.4
Ryde,2112,11.2
Sackville North,2756,49.4
Sadleir,2168,29.8
SAN REMO,,115
Sandringham,2219,15.9
Sandy Point,2172,23.1
Sans Souci,2219,15.3
Saratoga,2251,45.6
Scarborough,2515,50
Scheyville,2756,42
Schofields,2762,36.5
Scotland Island,2105,26.2
Seaforth,2092,8.8
Sefton,2162,18.2
Seven Hills,2147,27.2
Seven Hills West,2147,28.3
Shalvey,2770,39.9
Shanes Park,2747,42.8
Shellharbour,,113
Silverwater,2128,15.1
Singletons Mill,2775,46.5
Smeaton Grange,2567,45.7
Smithfield,2164,24.7
South Coogee,2034,8.4
South Granville,2142,18.6
South Hurstville,2221,15.5
South Maroota,2756,45.1
South Penrith,2750,47.8
South Turramurra,2074,16
South Wentworthville,2145,22.5
South Windsor,2756,46.3
Spencer,2775,45.7
Spring Farm,2570,49.6
St Andrews,2566,38.5
St Clair,2759,39.3
St Helens Park,2560,46.5
St Huberts Island,2257,43.2
St Ives,2075,15.8
St Ives Chase,2075,18.2
St Johns Park,2176,27.9
St Leonards,2065,5
St Marys,2760,41.5
St Marys East,2760,39.5
St Peters,2044,5.5
Stanhope Gardens,2768,30.6
Stanmore,2048,5.1
Stanwell Park,2508,44.8
Stanwell Tops,2508,44.7
Stockton,,189
Strathfield,2135,10.5
Strathfield South,2136,11.8
Summer Hill,2130,7
Surry Hills,2010,2.5
Sutherland,2232,22.9
Sydenham,2044,6.6
SYDNEY,,1
Sydney Olympic Park,,17
Sydney South,2000,16.2
Sylvania,2224,18.3
Sylvania Waters,2224,18.9
Talofa,,767
Tamarama,2026,6.9
Taren Point,2229,17.8
Tascott,2250,47.4
Taylors Point,2107,27.2
Telopea,2117,16.9
Tempe,2044,7.7
Tennyson Point,2111,9.2
Terrey Hills,2084,20.5
TERRIGAL,,94
The Angle,2620,40.4
The Basin,2108,30.6
The Hill,,168
The Ponds,2769,46.8
The Rock,,488
The Rocks,2000,0.9
The University Of Sydney,2006,3
Thirroul,,81
Thornleigh,2120,19.1
Thrumster,,388
Tocumwal,,696
Tomakin,,302
Toongabbie,2146,25.2
Tregear,2770,40.1
Turramurra,2074,16.5
Turrella,2205,9.3
Turvey Park,,459
Ulmarra,,630
Ultimo,2007,1.5
Umina Beach,2257,38.8
Unanderra,,99
Varroville,2566,38.8
Vaucluse,2030,6.6
Villawood,2163,21.4
Vincentia,,196
Vineyard,2765,40.5
Voyager Point,2172,24.2
Wagstaffe,2257,40.2
Wahroonga,2076,18.7
Waitara,2077,19.9
Wakeley,2176,27.5
Waratah,,162
Wareemba,2046,7.1
Warrawee,2074,17.7
Warriewood,2102,20.6
Warumbul,2229,25
Warwick Farm,2170,25.8
Waterfall,2233,35.6
Waterloo,2017,3.7
Watsons Bay,2030,7.4
Wattle Grove,2173,27.2
Wauchope,,378
Waverley,2024,5.4
Waverton,2060,3.2
Wedderburn,2560,46.5
Wendoree Park,2250,46
Wentworthville,2145,22.9
Werrington,2747,44.8
Werrington County,2747,44.2
Werrington Downs,2747,45.9
West Gosford,2250,50
West Hoxton,2171,33.9
West Pennant Hills,2125,20
West Pymble,2073,14
West Ryde,2114,12.8
West Wallsend,,150
West Wollonghong,,96
Westleigh,2120,21.3
Westmead,2145,21.5
Weston,,157
Wetherill Park,2164,27.2
Whalan,2770,38.6
Whale Beach,2107,30.3
WHEELER HEIGHTS,,24
Wilberforce,2756,47.8
Wiley Park,2195,18
Willmot,2770,41.4
Willoughby,2068,7.3
Willoughby East,2068,7.2
Windsor,2756,46.1
Windsor Downs,2756,43.4
Winston Hills,2153,22.6
Wolli Creek,2205,8.5
Wollongong,,99
Wollstonecraft,2065,4.4
Wondabyne,2256,42
Woodbine,2560,41.2
Woodcroft,2767,32.7
Woodpark,2164,22.8
Woollahra,2025,3.6
Woolloomooloo,2011,1.3
Woolooware,2230,21
Woolwich,2110,4.5
Woronora,2232,22.5
Woronora Dam,2508,37
Woronora Heights,2233,24.9
Woy Woy,2256,43.8
Woy Woy Bay,2256,43.6
Wyoming,,87
Yagoona,2199,17.3
Yarrawarrah,2233,26.7
Yattalunga,2251,46.3
Yennora,2161,22
Yowie Bay,2228,22.4
Zetland,2017,4.8
WENTWORTH POINT,2127,20.1
Wadalba,,99.6
LAWSON,,88
Blaxlands Ridge,,78
Berkeley Vale,,92.6
